Компьютерная безопасность;математика;65;информатика;65;русский язык;60
Математика;математика;75;физика;65;русский язык;60
Совместный бакалавриат НИУ ВШЭ и Центра педагогического мастерства;математика;75;физика;65;русский язык;60
Прикладная математика и информатика;математика;75;информатика;75;русский язык;60
Программа двух дипломов НИУ ВШЭ и Лондонского университета «Прикладной анализ данных»  (реализуется на английском языке);математика;65;иностранный язык;70;русский язык;60
Прикладная математика;математика;65;физика;65;русский язык;60
Физика;физика;70;математика;70;русский язык;60
Информатика и вычислительная техника ;математика;60;русский язык;60;физика;60
Программная инженерия;информатика;75;математика;75;русский язык;60
Инфокоммуникационные технологии и системы связи;математика;60;физика;60;русский язык;60
Психология;биология;60;математика;50;русский язык;60
Экономика;математика;60;русский язык;60;иностранный язык;60;обществознание;60
Экономика и статистика;математика;55;обществознание;55;русский язык;60;иностранный язык;50
Совместная программа по экономике НИУ ВШЭ и РЭШ;математика;60;русский язык;60;иностранный язык;60;обществознание;60
Мировая экономика;математика;60;обществознание;60;иностранный язык;70;русский язык;60
Программа двух дипломов по экономике НИУ ВШЭ и Лондонского университета (реализуется преимущественно на английском языке);математика;60;иностранный язык;70;русский язык;60
Маркетинг и рыночная аналитика;математика;55;русский язык;60;иностранный язык;55;обществознание;55
Управление бизнесом;математика;55;русский язык;60;иностранный язык;55;обществознание;55
Логистика и управление цепями поставок ;математика;55;иностранный язык;50;русский язык;60
Государственное и муниципальное управление;математика;55;обществознание;55;иностранный язык;50;русский язык;60
Бизнес-информатика;математика;60;иностранный язык;50;русский язык;60
Цифровые инновации в управлении предприятием (программа двух дипломов НИУ ВШЭ и Лондонского университета) (реализуется на английском языке);математика;60;иностранный язык;60;русский язык;60
Социология;математика;50;обществознание;60;иностранный язык;50;русский язык;60
Юриспруденция;обществознание;60;история;50;русский язык;60;иностранный язык;50
Юриспруденция: частное право;обществознание;60;история;60;русский язык;60;иностранный язык;60
Программа двух дипломов НИУ ВШЭ и Университета Кёнхи «Экономика и политика в Азии» (реализуется на английском языке);история;50;иностранный язык;70;русский язык;55
Политология;история;55;обществознание;60;иностранный язык;50;русский язык;60
Международные отношения;история;65;обществознание;60;иностранный язык;70;русский язык;60
Программа двух дипломов НИУ ВШЭ и Лондонского университетапо направлению подготовки бакалавров 41.03.05 «Международные отношения» (реализуется на английском языке);история;50;иностранный язык;75;русский язык;60
Реклама и связи с общественностью;обществознание;60;иностранный язык;55;русский язык;60
Журналистика;творческое испытание;50;литература;60;иностранный язык;60;русский язык;60
Медиакоммуникации;иностранный язык;60;творческое испытание;50;литература;60;русский язык;60
Филология;литература;60;русский язык;60;иностранный язык;60
Иностранные языки и межкультурная коммуникация;иностранный язык;60;русский язык;60;обществознание;60
Фундаментальная и компьютерная лингвистика ;математика;65;русский язык;60;иностранный язык;60
История;история;60;иностранный язык;55;русский язык;60
Философия;обществознание;60;история;55;иностранный язык;50;русский язык;60
Современное искусство;русский язык;50;литература;50;иностранный язык;55
История искусств;история;60;иностранный язык;60;русский язык;60
Культурология;обществознание;60;история;55;русский язык;60;иностранный язык;50
Дизайн ;творческое испытание;60;русский язык;55;литература;55
Мода;творческое испытание;60;русский язык;50;литература;50
Востоковедение;история;55;иностранный язык;60;русский язык;60
Библеистика и история древнего Израиля;иностранный язык;60;история;50;русский язык;60
Языки и литература Индии;иностранный язык;60;история;50;русский язык;60
Язык и литература Ирана;иностранный язык;60;история;50;русский язык;60
