Фундаментальные математика и механика,342,русский язык,114,математика,114,физика,114
Фундаментальные математика и механика ,325,русский язык,108,математика,108,физика,108
Прикладная математика и информатика ,425,русский язык,142,математика,142,физика,142
Фундаментальная информатика и информационные технологии ,414,русский язык,138,математика,138,физика,138
Астрономия ,335,русский язык,112,математика,112,физика,112
Физика,337,русский язык,112,математика,112,физика,112
Фундаментальная и прикладная химия ,398,русский язык,133,математика,133,биология,133
Биология ,438,русский язык,146,математика,146,география,146
Экология и природопользование ,338,русский язык,113,математика,113,география,113
Экология и природопользование,265,русский язык,88,математика,88,география,88
Почвоведение ,385,русский язык,128,математика,128,география,128
Геология ,278,русский язык,93,математика,93,география,93
География ,341,русский язык,114,математика,114,география,114
Картография и геоинформатика,341,русский язык,114,математика,114,география,114
Гидрометеорология,309,русский язык,103,математика,103,география,103
Экология и природопользование,319,русский язык,106,математика,106,биология,106
"Химия, физика и механика материалов",433,русский язык,144,математика,144,биология,144
Лечебное дело,465,русский язык,155,математика,155,биология,155
Фармация ,429,русский язык,143,математика,143,биология,143
История,343,русский язык,114,математика,114,история,114
История искусств,328,русский язык,109,математика,109,история,109
История ,299,русский язык,100,математика,100,история,100
История искусств,289,русский язык,96,математика,96,история,96
Филология,357,русский язык,119,математика,119,литература,119
Филология ,315,русский язык,105,математика,105,литература,105
Филология ,347,русский язык,116,математика,116,литература,116
Фундаментальная и прикладная лингвистика,359,русский язык,120,математика,120,литература,120
Филология ,263,русский язык,88,математика,88,литература,88
Философия ,319,русский язык,106,математика,106,литература,106
Реклама и связи с общественностью,331,русский язык,110,математика,110,литература,110
Религиоведение,312,русский язык,104,математика,104,литература,104
Экономика,343,русский язык,114,математика,114,обществознание,114
Юриспруденция,356,русский язык,119,математика,119,обществознание,119
Журналистика ,341,русский язык,114,математика,114,обществознание,114
Клиническая психология,338,русский язык,113,математика,113,обществознание,113
Психология служебной деятельности ,322,русский язык,107,математика,107,обществознание,107
Педагогика и психология девиантного поведения,311,русский язык,104,математика,104,обществознание,104
Востоковедение и африканистика ,360,русский язык,120,математика,120,обществознание,120
Социология,314,русский язык,105,математика,105,обществознание,105
Социология ,241,русский язык,80,математика,80,обществознание,80
Перевод и переводоведение,372,русский язык,124,математика,124,обществознание,124
Лингвистика ,381,русский язык,127,математика,127,обществознание,127
Регионоведение России,329,русский язык,110,математика,110,обществознание,110
Биоинженерия и биоинформатика,462,русский язык,154,математика,154,биология,154
Фундаментальная и прикладная химия ,373,русский язык,124,математика,124,биология,124
Прикладные математика и физика ,321,русский язык,107,математика,107,физика,107
Юриспруденция,369,русский язык,123,математика,123,обществознание,123
Экономика,363,русский язык,121,математика,121,обществознание,121
Телевидение ,329,русский язык,110,математика,110,обществознание,110
Социология,300,русский язык,100,математика,100,обществознание,100
Политология,348,русский язык,116,математика,116,обществознание,116
Управление персоналом,331,русский язык,110,математика,110,обществознание,110
Государственное и муниципальное управление ,334,русский язык,111,математика,111,обществознание,111
Политология,350,русский язык,117,математика,117,обществознание,117
Международные отношения,364,русский язык,121,математика,121,обществознание,121
Международные отношения,364,русский язык,121,математика,121,обществознание,121
Биология,455,русский язык,152,математика,152,биология,152
Прикладная математика и информатика ,278,русский язык,93,математика,93,физика,93
Физика ,248,русский язык,83,математика,83,физика,83
География,236,русский язык,79,математика,79,география,79
